,REGIONID,PRODUCTGROUP,YEARWEEK,VOLUME,MA,MA2
203,A01,ST0002,201518,134467,131294.8,131294.8
204,A01,ST0002,201519,128668,129814.0,129814.0
205,A01,ST0002,201520,125863,133027.6,133027.6
206,A01,ST0002,201521,132909,131194.2,131194.2
207,A01,ST0002,201522,143231,133378.6,133378.6
208,A01,ST0002,201523,125300,133959.2,133959.2
209,A01,ST0002,201524,139590,134419.8,134419.8
210,A01,ST0002,201525,128766,142683.6,142683.6
211,A01,ST0002,201526,135212,146143.2,146143.2
212,A01,ST0002,201527,184550,149222.2,149222.2
213,A01,ST0002,201528,142598,150268.6,150268.6
214,A01,ST0002,201529,154985,151372.6,151372.6
215,A01,ST0002,201530,133998,141375.4,141375.4
216,A01,ST0002,201531,140732,142876.8,142876.8
217,A01,ST0002,201532,134564,145540.4,145540.4
218,A01,ST0002,201533,150105,148654.8,148654.8
219,A01,ST0002,201534,168303,162509.6,162509.6
220,A01,ST0002,201535,149570,174618.0,174618.0
221,A01,ST0002,201536,210006,171171.0,171171.0
222,A01,ST0002,201537,195106,163508.8,163508.8
223,A01,ST0002,201538,132870,161520.6,161520.6
224,A01,ST0002,201539,129992,145063.4,145063.4
225,A01,ST0002,201540,139629,133354.0,133354.0
226,A01,ST0002,201541,127720,131608.4,131608.4
227,A01,ST0002,201542,136559,132308.6,132308.6
228,A01,ST0002,201543,124142,135389.2,135389.2
229,A01,ST0002,201544,133493,146693.6,146693.6
230,A01,ST0002,201545,155032,195049.6,195049.6
231,A01,ST0002,201546,184242,450289.0,450289.0
232,A01,ST0002,201547,378339,557532.6,557532.6
233,A01,ST0002,201548,1400339,585442.0,585442.0
234,A01,ST0002,201549,669711,619847.8,619847.8
235,A01,ST0002,201550,294579,628673.6,628673.6
236,A01,ST0002,201551,356271,395110.4,395110.4
237,A01,ST0002,201552,422468,293728.4,293728.4
238,A01,ST0002,201553,232523,262249.8,262249.8
239,A01,ST0002,201601,162801,221548.2,221548.2
240,A01,ST0002,201602,137186,176466.0,176466.0
241,A01,ST0002,201603,152763,176204.2,176204.2
242,A01,ST0002,201604,197057,178090.0,178090.0
243,A01,ST0002,201605,231214,182917.6,182917.6
244,A01,ST0002,201606,172230,178365.0,178365.0
245,A01,ST0002,201607,161324,169783.4,169783.4
246,A01,ST0002,201608,130000,152055.6,152055.6
247,A01,ST0002,201609,154149,147792.6,147792.6
248,A01,ST0002,201610,142575,142083.8,142083.8
249,A01,ST0002,201611,150915,143241.4,143241.4
250,A01,ST0002,201612,132780,142178.6,142178.6
251,A01,ST0002,201613,135788,142299.6,142299.6
252,A01,ST0002,201614,148835,139702.0,139702.0
253,A01,ST0002,201615,143180,141601.8,141601.8
254,A01,ST0002,201616,137927,146956.2,146956.2
255,A01,ST0002,201617,142279,147785.2,147785.2
256,A01,ST0002,201618,162560,151331.8,151331.8
257,A01,ST0002,201619,152980,164943.2,164943.2
258,A01,ST0002,201620,160913,179473.2,179473.2
259,A01,ST0002,201621,205984,179357.8,179357.8
260,A01,ST0002,201622,214929,183080.2,183080.2
261,A01,ST0002,201623,161983,182354.2,182354.2
262,A01,ST0002,201624,171592,180455.2,180455.2
263,A01,ST0002,201625,157283,171836.75,171836.75
264,A01,ST0002,201626,196489,175121.33333333334,175121.33333333334
